response_id,user_id,timestamp,task_context,question,response_text,completion_status,device_type
R038,U1271,2024-03-16 16:01:34,checkout_abandoned,checkout_abandoned,"Why did you leave without completing your purchase?","I got to the payment screen and the total was way higher than I expected. There were all these fees that weren't mentioned earlier. I'm not paying that much. I'll look for a better deal elsewhere.",abandoned,desktop
R039,U1272,2024-03-16 16:23:56,checkout_complete,"What was the most frustrating part of the checkout process?","The checkout process was fine, but I wish I could see a summary of my order before I confirmed it. I wanted to double-check everything, but the summary was on a different page and I couldn't see it while I was filling out the payment form.",completed,mobile
R040,U1273,2024-03-16 16:45:23,checkout_complete,"What was the most frustrating part of the checkout process?","I couldn't use PayPal even though there was a PayPal button. I clicked it, but it just reloaded the page. I tried a few times, then gave up and used my credit card instead. That was annoying.",completed,desktop
R041,U1274,2024-03-16 17:12:45,checkout_abandoned,checkout_abandoned,"Why did you leave without completing your purchase?","I was trying to checkout, but the site kept logging me out. I'd fill out part of the form, then get logged out, and I'd have to log back in and start over. This happened three times before I gave up.",abandoned,mobile
R042,U1275,2024-03-16 17:34:12,checkout_complete,"What was the most frustrating part of the checkout process?","The form validation messages were confusing. It kept saying 'invalid format' but didn't tell me what format it wanted. I had to guess what the correct format was. That was frustrating.",completed,desktop
R043,U1276,2024-03-16 18:01:34,checkout_complete,"What was the most frustrating part of the checkout process?","I wanted to add a promo code, but I couldn't find where to enter it. I looked everywhere, but it wasn't obvious. I finally found it in a tiny link at the bottom of the page. Why isn't it more prominent?",completed,mobile
R044,U1277,2024-03-16 18:23:56,checkout_abandoned,checkout_abandoned,"Why did you leave without completing your purchase?","I got to the payment screen and realized I needed to check my bank balance first. But when I tried to go back, it said I would lose my progress. So I just left. I'll come back when I'm ready.",abandoned,desktop
R045,U1278,2024-03-16 18:45:23,checkout_complete,"What was the most frustrating part of the checkout process?","The checkout process was mostly smooth, but I wish there was a way to save my shipping address for next time. I shop here regularly, and it's annoying to enter my address every time.",completed,mobile
R046,U1279,2024-03-16 19:12:45,checkout_complete,"What was the most frustrating part of the checkout process?","I couldn't see the tax amount until the very end. I wanted to know the total cost including tax, but I had to go through the entire checkout process to find out. That was frustrating.",completed,desktop
R047,U1280,2024-03-16 19:34:12,checkout_abandoned,checkout_abandoned,"Why did you leave without completing your purchase?","I was trying to checkout, but the site was asking for too much information. It wanted my phone number, email, billing address, shipping address... it felt invasive. I don't want to give out that much information just to buy something.",abandoned,mobile
R048,U1281,2024-03-16 20:01:34,checkout_complete,"What was the most frustrating part of the checkout process?","The payment form didn't have an option to save my card for future purchases. I shop here regularly, and it's annoying to enter my card info every time. I wish there was a way to save it securely.",completed,desktop
R049,U1282,2024-03-16 20:23:56,checkout_complete,"What was the most frustrating part of the checkout process?","I wanted to change my shipping address, but when I clicked 'Edit', it took me back to the cart page instead of just letting me edit the address. I had to go through the entire checkout process again. That was annoying.",completed,mobile
R050,U1283,2024-03-16 20:45:23,checkout_abandoned,checkout_abandoned,"Why did you leave without completing your purchase?","I got to the payment screen and the site asked me to create an account. I don't want to create an account, I just want to buy something. There was no option to checkout as a guest, so I left.",abandoned,desktop
